type,id,code,description,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,link11,link12,link13,link14,link15,link16,link17,link18,link19,link20,link21,link22,link23,origen
EC,ec-act4d-6.5,6.5,"Reconocer, mirando tanto la historia de la ciencia como lo que se investiga hoy, que sigue construyéndose gracias a hombres y mujeres y que influye en la sociedad.",,,,,,,,,,,,,,,,,,,,,,,,fq4 6.1
SB,sb-act4d-a1,A.1,"Plantear hipótesis, preguntas y conjeturas con una mirada científica.",,,,,,,,,,,,,,,,,,,,,,,,bg4 A.1
SB,sb-act4d-a2,A.2,"Observar y tomar datos de fenómenos naturales, y usar controles experimentales (positivos y negativos) para que los resultados sean fiables.",,,,,,,,,,,,,,,,,,,,,,,,bg4 A.4; bg4 A.5
SB,sb-act4d-a3,A.3,"Trabajo experimental y proyectos de investigación: cómo abordar un problema, qué hacer con los errores, buscar pruebas y razonar, y responder preguntas científicas en el laboratorio y en el campo.",,,,,,,,,,,,,,,,,,,,,,,,bg4 A.6; fq4 A.1
SB,sb-act4d-a4,A.4,"El laboratorio y los entornos virtuales: materiales, sustancias, herramientas y normas de uso que protegen la salud, la seguridad en la red y el medio ambiente.",,,,,,,,,,,,,,,,,,,,,,,,fq4 A.2; fq4 A.3
SB,sb-act4d-a5,A.5,"El lenguaje de la ciencia: manejo de los sistemas de unidades, sus símbolos y las herramientas matemáticas adecuadas a cada caso.",,,,,,,,,,,,,,,,,,,,,,,,fq4 A.4
SB,sb-act4d-a6,A.6,"Buscar información en fuentes fiables e interpretar, elaborar y comunicar información científica en distintos formatos y medios.",,,,,,,,,,,,,,,,,,,,,,,,bg4 A.2; bg4 A.3; fq4 A.5
SB,sb-act4d-a7,A.7,"Los modelos para representar y entender procesos naturales, y el análisis de resultados distinguiendo correlación de causalidad. El trabajo científico y quienes lo hacen, el papel de la mujer en la ciencia y cómo el conocimiento se ha ido construyendo entre muchos, con atención a Asturias.",,,,,,,,,,,,,,,,,,,,,,,,bg4 A.7; bg4 A.8; bg4 A.9; bg4 A.10; fq4 A.6
SB,sb-act4d-b1,B.1,"Resolver situaciones cotidianas contando de forma ordenada y estimando resultados, sabiendo qué error se comete.",,,,,,,,,,,,,,,,,,,,,,,,mat4a A.1; mat4a A.2
SB,sb-act4d-b2,B.2,"Los conjuntos numéricos y para qué sirve cada uno: expresar cantidades con números reales y la precisión necesaria, los irracionales en la vida diaria, y el orden en la recta y los intervalos.",,,,,,,,,,,,,,,,,,,,,,,,mat4a A.3; mat4a A.4; mat4a A.7; mat4a A.9
SB,sb-act4d-b3,B.3,"Operar con números reales y aprovechar las propiedades de las operaciones en situaciones reales, con herramientas digitales, y reconocer patrones numéricos.",,,,,,,,,,,,,,,,,,,,,,,,mat4a A.5; mat4a A.6; mat4a A.8
SB,sb-act4d-b4,B.4,"Proporcionalidad directa e inversa, y problemas de subidas y bajadas de porcentaje, intereses y tasas en situaciones de dinero.",,,,,,,,,,,,,,,,,,,,,,,,mat4a A.10; mat4a A.11
SB,sb-act4d-c1,C.1,"Patrones y regularidades: observarlos, generalizarlos y escribir el término general en casos sencillos.",,,,,,,,,,,,,,,,,,,,,,,,mat4a D.1
SB,sb-act4d-c2,C.2,"Traducir problemas cotidianos a lenguaje matemático y algebraico usando distintos tipos de funciones, y sacar conclusiones del modelo.",,,,,,,,,,,,,,,,,,,,,,,,mat4a D.2; mat4a D.3
SB,sb-act4d-c3,C.3,"Las variables y las expresiones simbólicas según el contexto: relaciones lineales, cuadráticas y de proporcionalidad inversa, y expresiones equivalentes para resolver ecuaciones, sistemas e inecuaciones.",,,,,,,,,,,,,,,,,,,,,,,,mat4a D.4; mat4a D.6; mat4a D.7
SB,sb-act4d-c4,C.4,"Formas de resolver y discutir ecuaciones de primer y segundo grado, sistemas e inecuaciones, también con la tecnología.",,,,,,,,,,,,,,,,,,,,,,,,mat4a D.8; mat4a D.9
SB,sb-act4d-c5,C.5,"Relaciones entre cantidades y funciones que las describen: tablas, gráficas y expresiones, cómo cambian, qué propiedades tienen, la pendiente y su relación con el ángulo, y el crecimiento y decrecimiento mediante tasas de variación.",,,,,,,,,,,,,,,,,,,,,,,,mat4a D.5; mat4a D.10; mat4a D.11; mat4a D.12; mat4a B.1; mat4a B.2
SB,sb-act4d-c6,C.6,"Resolver problemas partiéndolos en pasos y automatizándolos: interpretar, modificar y crear secuencias de instrucciones y plantear problemas que se analicen con programas.",,,,,,,,,,,,,,,,,,,,,,,,mat4a D.13; mat4a D.14; mat4a D.15
SB,sb-act4d-d1,D.1,Propiedades y transformaciones de objetos cotidianos: investigarlas y comprobar conjeturas con programas de geometría dinámica.,,,,,,,,,,,,,,,,,,,,,,,,mat4a C.1; mat4a C.2; mat4a C.5
SB,sb-act4d-d2,D.2,"Modelos geométricos para representar y explicar relaciones numéricas y algebraicas, y para modelizar objetos de la vida diaria con herramientas tecnológicas.",,,,,,,,,,,,,,,,,,,,,,,,mat4a C.3; mat4a C.4
SB,sb-act4d-e1,E.1,"Recoger y organizar datos de dos variables a la vez, tablas de contingencia y fases del diseño de un estudio estadístico.",,,,,,,,,,,,,,,,,,,,,,,,mat4a E.1; mat4a E.8
SB,sb-act4d-e2,E.2,"Leer e interpretar tablas y gráficos de una y dos variables, representarlos con la tecnología y sacar conclusiones razonadas.",,,,,,,,,,,,,,,,,,,,,,,,mat4a E.2; mat4a E.4
SB,sb-act4d-e3,E.3,"Medidas de centralización y dispersión, y relación entre dos variables: cuándo tiene sentido hacer una recta de regresión y cómo ajustarla con la tecnología.",,,,,,,,,,,,,,,,,,,,,,,,mat4a E.3; mat4a E.5
SB,sb-act4d-e4,E.4,"Experimentos compuestos y cálculo de probabilidades con la regla de Laplace y técnicas de recuento para tomar decisiones, y presentación de datos valorando si la muestra es representativa.",,,,,,,,,,,,,,,,,,,,,,,,mat4a E.6; mat4a E.7; mat4a E.9; mat4a E.10
SB,sb-act4d-f1,F.1,"Sistemas materiales: problemas y situaciones sobre disoluciones y gases, entre otros.",,,,,,,,,,,,,,,,,,,,,,,,fq4 B.1
SB,sb-act4d-f2,F.2,Modelos atómicos clásicos y cuánticos y partículas subatómicas: cómo se ordenan los electrones y qué relación tiene eso con el lugar del elemento en la tabla periódica y con sus propiedades.,,,,,,,,,,,,,,,,,,,,,,,,fq4 B.2; fq4 B.3
SB,sb-act4d-f3,F.3,"Los compuestos químicos: cómo se forman, qué propiedades tienen y para qué sirven, y cómo se mide la cantidad de materia calculando moles.",,,,,,,,,,,,,,,,,,,,,,,,fq4 B.4; fq4 B.5
