type,id,code,description,link1,link2,link3,link4,link5,link6,link7
KC,kc-cc,CC,Competencia ciudadana,,,,,,,
KC,kc-ccec,CCEC,Competencia en Conciencia y Expresión Culturales,,,,,,,
KC,kc-ccl,CCL,Competencia en comunicación lingüística,,,,,,,
KC,kc-cd,CD,Competencia digital,,,,,,,
KC,kc-ce,CE,Competencia Emprendedora,,,,,,,
KC,kc-cp,CP,Competencia Plurilingüe,,,,,,,
KC,kc-stem,STEM,"Competencia Matemática y Competencia en Ciencia, Tecnología e Ingeniería",,,,,,,
SB,sb-lat4-d1,D.1,"Pervivencia del legado material (sitios arqueológicos, inscripciones, construcciones monumentales y artísticas, etc.) e inmaterial (mitología clásica, instituciones políticas, oratoria, derecho, rituales y celebraciones, etc.) de la cultura y la civilización latinas.",,,,,,,
SB,sb-lat4-d2,D.2,La transmisión textual y los soportes de escritura.,,,,,,,
SB,sb-lat4-d3,D.3,Características del patrimonio cultural romano y del proceso de romanización.,,,,,,,
SB,sb-lat4-d4,D.4,"Interés e iniciativa en participar en procesos destinados a conservar, preservar y difundir el patrimonio arqueológico del entorno.",,,,,,,
SB,sb-lat4-d5,D.5,"Herramientas analógicas y digitales para la comprensión, producción y coproducción oral, escrita y multimodal.",,,,,,,
SB,sb-lat4-d6,D.6,Respeto de la propiedad intelectual y derechos de autor sobre las fuentes consultadas y los contenidos utilizados.,,,,,,,
SB,sb-lat4-d7,D.7,"Estrategias y herramientas, analógicas y digitales, individuales y cooperativas, para la autoevaluación, la coevaluación y la autorreparación.",,,,,,,
BB,bb-lat4-a,A,El presente de la civilización latina,,,,,,,
BB,bb-lat4-b,B,Latín y plurilingüismo,,,,,,,
BB,bb-lat4-c,C,El texto latino y la traducción,,,,,,,
BB,bb-lat4-d,D,Legado y patrimonio,,,,,,,
